Generation,Mean fitness,Best fitness
0,31.582,28.2
1,31.582,28.2
2,31.582,28.2
3,31.582,28.2
4,31.582,28.2
5,31.582,28.2
6,31.582,28.2
7,31.582,28.2
8,31.528,28.2
9,31.52,28.2
10,31.518,28.2
11,31.48,28.2
12,31.456,28.2
13,31.442,28.2
14,31.434,28.2
15,31.424,28.2
16,31.424,28.2
17,31.424,28.2
18,31.424,28.2
19,31.414,28.2
20,31.406,28.2
21,31.332,28.2
22,31.332,28.2
23,31.322,28.2
24,31.294,28.2
25,31.294,28.2
26,31.23,28.2
27,31.226,28.2
28,31.216,28.2
29,31.212,28.2
30,31.18,28.2
31,31.126,28.2
32,31.126,28.2
33,31.126,28.2
34,31.114,28.2
35,31.018,27.5
36,30.99,27.5
37,30.932,27.5
38,30.932,27.5
39,30.902,27.5
40,30.902,27.5
41,30.862,27.5
42,30.848,27.5
43,30.848,27.5
44,30.788,27.5
45,30.738,27.5
46,30.738,27.5
47,30.696,27.5
48,30.694,27.5
49,30.642,27.5
50,30.624,27.5
51,30.588,27.5
52,30.536,27.5
53,30.506,27.5
54,30.47,27.5
55,30.402,27.5
56,30.402,27.5
57,30.402,27.5
58,30.402,27.5
59,30.362,27.5
60,30.344,27.5
61,30.296,27.5
62,30.296,27.5
63,30.296,27.5
64,30.26,27.5
65,30.242,27.5
66,30.21,27.5
67,30.17,27.5
68,30.12,27.5
69,30.106,27.5
70,30.102,27.5
71,30.09,27.5
72,30.09,27.5
73,30.036,27.5
74,30.036,27.5
75,30.036,27.5
76,30.024,27.5
77,30.024,27.5
78,29.968,27.5
79,29.92,27.5
80,29.92,27.5
81,29.86,27.5
82,29.842,27.5
83,29.8,27.5
84,29.788,27.5
85,29.788,27.5
86,29.73,27.5
87,29.73,27.5
88,29.73,27.5
89,29.714,27.5
90,29.682,27.5
91,29.682,27.5
92,29.614,27.4
93,29.614,27.4
94,29.586,27.4
95,29.54,27.4
96,29.54,27.4
97,29.54,27.4
98,29.538,27.4
99,29.538,27.4
100,29.538,27.4
101,29.48,27.4
102,29.48,27.4
103,29.476,27.4
104,29.476,27.4
105,29.476,27.4
106,29.458,27.4
107,29.442,27.4
108,29.442,27.4
109,29.442,27.4
110,29.442,27.4
111,29.442,27.4
112,29.442,27.4
113,29.4,27.4
114,29.354,27.4
115,29.348,27.4
116,29.348,27.4
117,29.348,27.4
118,29.348,27.4
119,29.348,27.4
120,29.348,27.4
121,29.348,27.4
122,29.338,27.4
123,29.338,27.4
124,29.338,27.4
125,29.314,27.4
126,29.312,27.4
127,29.312,27.4
128,29.312,27.4
129,29.252,27.3
130,29.214,27.3
131,29.212,27.3
132,29.212,27.3
133,29.19,27.3
134,29.19,27.3
135,29.19,27.3
136,29.19,27.3
137,29.182,27.3
138,29.166,27.3
139,29.166,27.3
140,29.156,27.3
141,29.156,27.3
142,29.156,27.3
143,29.156,27.3
144,29.156,27.3
145,29.156,27.3
146,29.14,27.3
147,29.14,27.3
148,29.14,27.3
149,29.14,27.3
150,29.14,27.3
151,29.14,27.3
152,29.106,27.3
153,29.084,27.3
154,29.084,27.3
155,29.064,27.3
156,29.064,27.3
157,29.064,27.3
158,29.064,27.3
159,29.064,27.3
160,29.064,27.3
161,29.056,27.3
162,29.056,27.3
163,29.056,27.3
164,29.046,27.3
165,29.046,27.3
166,29.046,27.3
167,29.016,27.3
168,29.016,27.3
169,29.014,27.3
170,29.014,27.3
171,29.01,27.3
172,29.01,27.3
173,29.01,27.3
174,29.01,27.3
175,29.01,27.3
176,29.01,27.3
177,29.01,27.3
178,28.96,27.3
179,28.96,27.3
180,28.96,27.3
181,28.96,27.3
182,28.96,27.3
183,28.96,27.3
184,28.96,27.3
185,28.96,27.3
186,28.96,27.3
187,28.952,27.3
188,28.952,27.3
189,28.952,27.3
190,28.938,27.3
191,28.938,27.3
192,28.926,27.3
193,28.926,27.3
194,28.926,27.3
195,28.91,27.3
196,28.91,27.3
197,28.9,27.3
198,28.9,27.3
199,28.844,26.9
200,28.844,26.9
201,28.844,26.9
202,28.844,26.9
203,28.82,26.9
204,28.82,26.9
205,28.804,26.9
206,28.804,26.9
207,28.804,26.9
208,28.804,26.9
209,28.804,26.9
210,28.804,26.9
211,28.804,26.9
212,28.76,26.9
213,28.76,26.9
214,28.76,26.9
215,28.732,26.9
216,28.716,26.9
217,28.716,26.9
218,28.71,26.9
219,28.71,26.9
220,28.71,26.9
221,28.686,26.9
222,28.686,26.9
223,28.686,26.9
224,28.686,26.9
225,28.686,26.9
226,28.686,26.9
227,28.652,26.9
228,28.636,26.9
229,28.624,26.9
230,28.624,26.9
231,28.624,26.9
232,28.624,26.9
233,28.624,26.9
234,28.624,26.9
235,28.624,26.9
236,28.624,26.9
237,28.624,26.9
238,28.624,26.9
239,28.614,26.9
240,28.614,26.9
241,28.614,26.9
242,28.614,26.9
243,28.614,26.9
244,28.614,26.9
245,28.606,26.9
246,28.592,26.9
247,28.592,26.9
248,28.592,26.9
249,28.592,26.9
250,28.58,26.9
251,28.58,26.9
252,28.58,26.9
253,28.516,26.1
254,28.504,26.1
255,28.504,26.1
256,28.504,26.1
257,28.476,26.1
258,28.476,26.1
259,28.462,26.1
260,28.462,26.1
261,28.462,26.1
262,28.424,26.1
263,28.424,26.1
264,28.424,26.1
265,28.424,26.1
266,28.424,26.1
267,28.424,26.1
268,28.424,26.1
269,28.416,26.1
270,28.416,26.1
271,28.416,26.1
272,28.416,26.1
273,28.388,26.1
274,28.38,26.1
275,28.38,26.1
276,28.38,26.1
277,28.38,26.1
278,28.38,26.1
279,28.38,26.1
280,28.38,26.1
281,28.38,26.1
