GA,CPLEX
0.1081,0.0901
0.0789,0.0658
0.1243,0.0486
0.1200,0.0933
0.2071,0.1479
0.0184,0.0000
0.1622,0.1216
0.0370,0.0185
0.1870,0.1707
0.1654,0.1024
0.2081,0.1387
0.2363,0.1751
0.1299,0.1039
0.0932,0.0681
0.2000,0.1200
0.1479,0.0533
0.1673,0.1174
0.3322,0.2492
0.3603,0.2868
0.2241,0.1639
0.1317,0.1000
0.1690,0.0948
0.2095,0.1175
0.1673,0.0681
0.1270,0.0794
0.1439,0.0566
0.1350,0.0686
0.0906,0.0354
0.1596,0.0979
0.2007,0.1152
0.1624,0.0981
0.2034,0.1528
0.1799,0.1335
0.1437,0.0835
0.1027,
0.1786,0.1242
0.2470,
0.1626,0.0823
0.1670,0.1015
0.2482,
0.1361,
0.1773,
0.1366,
0.1463,
0.1646,
0.2244,
0.2117,0.1343
0.1982,0.1287
0.2490,0.2530
0.2383,
0.2002,0.2512
0.0817,
0.1998,0.1062
0.1218,
0.2404,
0.1832,0.1122
0.1831,
0.1946,
0.2344,
0.2806,0.4400
0.1316,0.1540
0.1361,
0.2317,
0.2321,0.1288
0.1807,
0.1527,
0.2322,
0.3144,0.3176
0.2595,
0.2784,
