Best, Mean
44.45,48.16
44.45,48.122
44.45,48.122
44.45,48.07
44.45,48.07
44.45,48.07
44.45,48.07
44.45,48.03
44.45,48.03
44.45,47.958
44.45,47.958
44.45,47.954
44.45,47.954
44.45,47.908
44.45,47.908
44.45,47.908
44.45,47.908
44.45,47.876
44.45,47.824
44.45,47.824
44.45,47.824
44.45,47.824
44.45,47.824
44.45,47.824
44.45,47.784
44.45,47.74
44.45,47.74
44.45,47.74
44.45,47.562
44.45,47.52
44.45,47.424
44.45,47.404
44.45,47.404
44.45,47.278
44.45,47.23
44.45,47.128
44.45,47.128
44.45,47.128
44.45,47.128
44.45,47.128
44.45,47.128
44.45,47.128
44.45,47.082
44.45,47.08
44.45,47.08
44.45,47.058
44.45,47.058
44.45,47.038
44.45,47.038
44.45,47.038
44.45,47.038
44.45,47.038
44.45,47.038
44.45,47.03
44.45,47.03
44.45,46.936
44.45,46.854
44.45,46.784
44.45,46.784
44.45,46.784
44.45,46.784
44.45,46.784
44.45,46.784
44.45,46.784
44.45,46.784
44.45,46.784
44.45,46.736
44.45,46.736
44.45,46.736
44.45,46.736
44.45,46.736
44.45,46.676
44.45,46.676
44.45,46.676
44.45,46.676
44.45,46.638
44.45,46.638
44.45,46.638
44.45,46.638
44.45,46.588
43.35,46.404
43.35,46.404
43.35,46.32
43.35,46.32
43.35,46.32
43.35,46.32
43.35,46.32
43.35,46.32
43.35,46.32
43.35,46.32
43.35,46.32
43.35,46.32
43.35,46.156
43.35,46.156
43.35,46.08
43.35,46.08
43.35,46.08
43.35,46.08
43.35,46.08
43.35,46.036
43.35,45.984
43.35,45.984
43.35,45.984
43.35,45.984
43.35,45.86
43.35,45.814
43.35,45.724
43.35,45.724
43.35,45.724
43.35,45.724
43.35,45.724
43.35,45.724
43.35,45.7
43.35,45.7
43.35,45.7
43.35,45.7
43.35,45.668
43.35,45.656
43.2,45.52
43.2,45.52
43.2,45.52
43.2,45.44
43.2,45.44
43.2,45.42
43.2,45.42
43.2,45.42
43.2,45.404
43.2,45.404
43.2,45.386
43.2,45.386
43.1,45.254
43.1,45.254
43.1,45.222
43.1,45.222
43.1,45.222
43.1,45.222
43.1,45.112
43.1,45.046
43.1,45.046
43.1,45.046
43.1,45.046
43.1,45.046
43.1,44.992
43.1,44.888
43.1,44.836
43.1,44.72
43.1,44.72
43.1,44.72
43.1,44.72
43.1,44.72
43.1,44.674
43.1,44.674
43.1,44.674
43.1,44.674
43.1,44.674
43.1,44.626
43.1,44.626
43.1,44.626
43.1,44.52
43.1,44.52
43.1,44.52
43.1,44.52
43.1,44.404
43.1,44.346
43.1,44.346
43.1,44.31
43.1,44.31
43.1,44.278
43.1,44.278
43.1,44.278
43.1,44.278
43.1,44.276
43.1,44.276
43.1,44.276
43.1,44.276
43.1,44.276
43.1,44.276
43.1,44.276
43.1,44.276
43.1,44.276
43.1,44.276
43.1,44.276
43.1,44.276
43.1,44.184
43.1,44.184
43.1,44.184
43.1,44.112
43.1,44.112
43.1,44.106
43.1,44.106
43.1,44.032
43.1,43.96
42.85,43.878
42.15,43.772
42.15,43.772
42.15,43.724
42.15,43.724
42.15,43.724
42.15,43.724
42.15,43.724
42.15,43.724
42.15,43.724
42.15,43.682
42.15,43.682
42.15,43.682
42.15,43.678
42.15,43.678
42.15,43.678
42.15,43.678
42.15,43.636
42.15,43.636
42.15,43.63
42.15,43.63
42.15,43.63
42.15,43.63
42.15,43.63
42.15,43.63
41.95,43.524
41.95,43.524
41.95,43.484
41.95,43.468
41.95,43.464
41.95,43.464
41.95,43.464
41.95,43.464
41.95,43.432
41.95,43.432
41.95,43.432
41.95,43.432
41.95,43.41
41.95,43.41
41.95,43.41
41.95,43.41
41.95,43.41
41.95,43.338
41.95,43.338
41.95,43.338
41.95,43.338
41.95,43.338
41.95,43.338
41.95,43.338
41.95,43.338
41.95,43.338
41.95,43.248
41.95,43.248
41.95,43.248
41.95,43.248
41.95,43.248
41.95,43.248
41.95,43.248
41.95,43.248
41.95,43.222
41.95,43.222
41.95,43.148
41.95,43.148
41.95,43.148
41.95,43.148
41.95,43.148
41.95,43.148
41.95,43.148
41.95,43.148
41.95,43.148
41.95,43.148
41.95,43.148
41.95,43.114
41.95,43.114
41.95,43.114
41.95,43.114
41.95,43.114
41.95,43.114
41.95,43.114
41.95,43.114
41.95,43.114
41.95,43.114
41.95,43.114
41.95,43.114
41.95,43.114
41.95,43.114
41.95,43.112
41.95,43.102
41.95,43.102
41.95,43.102
41.95,43.102
41.95,43.102
41.95,43.102
41.95,43.102
41.95,43.094
41.95,43.094
41.95,43.094
41.95,43.094
41.95,43.094
41.95,43.094
41.95,43.094
41.95,43.094
41.95,43.094
41.95,43.094
41.95,43.074
41.95,43.074
41.95,43.074
41.95,43.074
41.95,43.074
41.95,43.074
41.95,43.074
41.95,43.074
41.95,43.074
41.95,43.074
41.95,43.074
41.95,43.074
41.95,43.06
41.95,43.06
41.95,43.054
41.95,43.054
41.95,43.05
41.95,43.05
41.95,43.05
41.95,43.038
41.95,43.038
41.95,43.038
41.95,43.038
41.95,43.028
41.95,43.028
41.95,43.028
41.95,43.028
41.95,43.028
41.95,43.028
41.95,43.028
41.95,43.028
41.95,43.028
41.95,43.028
41.95,43.028
41.95,43.028
41.95,43.028
41.95,43.028
41.95,42.968
41.95,42.968
41.95,42.968
41.95,42.968
41.95,42.968
41.95,42.968
41.95,42.968
41.95,42.964
41.95,42.964
41.95,42.964
41.95,42.964
41.95,42.964
41.95,42.964
41.95,42.964
41.75,42.894
41.75,42.894
41.75,42.894
41.75,42.894
41.75,42.894
41.75,42.894
41.75,42.894
41.75,42.894
41.75,42.892
41.75,42.892
41.75,42.892
41.75,42.892
41.75,42.892
41.75,42.892
41.75,42.89
41.75,42.89
41.75,42.89
41.75,42.89
41.75,42.89
41.75,42.89
41.75,42.87
41.75,42.866
41.75,42.866
41.75,42.866
41.75,42.846
41.75,42.846
41.75,42.846
41.75,42.846
41.75,42.846
41.75,42.846
41.75,42.782
41.75,42.782
41.75,42.782
41.75,42.756
41.75,42.756
41.75,42.756
41.75,42.756
41.75,42.756
41.75,42.756
41.7,42.692
41.7,42.692
41.7,42.692
41.7,42.692
41.7,42.692
41.7,42.692
41.7,42.692
41.7,42.692
41.7,42.688
41.7,42.688
41.7,42.688
41.7,42.688
41.7,42.688
41.7,42.672
41.7,42.672
41.7,42.672
41.7,42.672
41.7,42.672
41.7,42.672
41.7,42.672
41.7,42.672
41.7,42.672
41.7,42.668
41.7,42.668
41.7,42.664
41.7,42.664
41.7,42.664
41.7,42.664
41.7,42.664
41.7,42.664
41.7,42.664
41.7,42.664
41.7,42.664
41.7,42.664
41.7,42.664
41.7,42.664
41.7,42.664
41.7,42.61
41.7,42.61
41.7,42.61
41.7,42.61
41.7,42.61
41.7,42.61
41.7,42.61
41.7,42.61
41.7,42.61
41.7,42.61
41.7,42.61
41.7,42.61
41.7,42.61
41.7,42.61
41.7,42.61
41.7,42.604
41.7,42.604
41.7,42.604
41.7,42.604
41.7,42.604
41.7,42.604
41.7,42.604
41.7,42.604
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.506
40.7,42.458
40.7,42.414
40.7,42.414
40.7,42.368
40.7,42.368
40.7,42.272
40.7,42.232
40.7,42.232
40.7,42.232
40.7,42.232
40.7,42.2
40.7,42.2
40.7,42.2
40.7,42.196
40.7,42.196
40.7,42.148
40.7,42.106
40.7,42.106
40.7,42.106
40.7,42.106
40.7,42.106
40.7,42.106
40.7,42.106
40.7,42.106
40.7,42.106
40.7,42.106
40.7,42.106
40.7,42.072
40.7,42.064
40.7,42.064
40.7,42.064
40.6,41.972
40.6,41.972
40.6,41.972
40.6,41.972
40.6,41.972
40.6,41.932
40.6,41.932
40.6,41.932
40.6,41.932
40.6,41.932
40.6,41.932
40.6,41.932
40.6,41.932
40.6,41.932
40.6,41.932
40.6,41.932
40.6,41.932
40.6,41.932
40.6,41.932
40.6,41.932
40.6,41.932
40.6,41.932
40.6,41.932
40.6,41.932
40.6,41.932
40.6,41.932
40.6,41.86
40.6,41.86
40.6,41.86
40.6,41.86
40.6,41.86
40.6,41.86
40.6,41.86
40.6,41.86
40.6,41.86
40.6,41.86
40.6,41.86
40.6,41.86
40.6,41.86
40.6,41.86
40.6,41.86
40.6,41.86
40.6,41.86
40.6,41.86
40.6,41.86
40.6,41.836
40.6,41.814
40.6,41.814
40.6,41.814
40.45,41.728
40.45,41.728
40.45,41.728
40.45,41.728
40.45,41.728
40.45,41.728
40.45,41.728
40.45,41.728
40.45,41.728
40.45,41.728
40.45,41.718
40.45,41.718
40.45,41.718
40.45,41.718
40.45,41.718
40.45,41.718
40.45,41.718
40.45,41.718
40.45,41.718
40.45,41.718
40.45,41.716
40.45,41.716
40.45,41.716
40.45,41.716
40.45,41.716
40.45,41.716
40.45,41.716
40.45,41.716
40.45,41.716
40.45,41.716
40.45,41.702
40.45,41.702
40.45,41.702
40.45,41.7
40.45,41.7
40.45,41.7
40.45,41.7
40.45,41.696
40.45,41.696
40.45,41.696
40.45,41.696
40.45,41.696
40.45,41.696
40.45,41.696
40.45,41.634
40.45,41.634
40.45,41.628
40.45,41.628
40.45,41.628
40.45,41.628
40.45,41.628
40.45,41.62
40.45,41.62
40.45,41.62
40.45,41.62
40.45,41.62
40.45,41.62
40.45,41.586
40.45,41.586
40.45,41.586
40.45,41.586
40.45,41.586
40.45,41.586
40.45,41.586
40.45,41.586
40.45,41.586
40.45,41.586
40.45,41.586
40.45,41.586
40.45,41.586
40.45,41.586
40.45,41.586
40.45,41.584
40.45,41.584
40.45,41.584
40.45,41.584
40.45,41.584
40.45,41.584
40.45,41.556
40.45,41.556
40.45,41.556
40.45,41.556
40.45,41.55
40.45,41.55
40.45,41.542
40.45,41.542
40.45,41.542
40.45,41.542
40.45,41.542
40.45,41.542
40.45,41.542
40.45,41.542
40.45,41.542
40.45,41.542
40.45,41.542
40.45,41.542
40.45,41.542
40.45,41.542
40.45,41.542
40.45,41.542
40.45,41.484
40.45,41.484
40.45,41.484
40.45,41.484
40.45,41.484
40.45,41.484
40.45,41.44
40.45,41.44
40.45,41.44
40.45,41.436
40.45,41.436
40.45,41.436
40.45,41.436
40.45,41.436
40.45,41.436
40.45,41.436
40.45,41.436
40.45,41.434
40.45,41.434
40.45,41.434
40.45,41.434
40.45,41.434
40.45,41.428
40.45,41.428
40.45,41.428
40.45,41.428
40.45,41.428
40.45,41.428
40.45,41.428
40.45,41.428
40.45,41.428
40.45,41.428
40.45,41.428
40.45,41.428
40.45,41.428
40.45,41.428
40.45,41.428
40.45,41.428
40.45,41.374
40.45,41.374
40.45,41.374
40.45,41.324
40.45,41.324
40.45,41.324
40.45,41.32
40.45,41.32
40.45,41.32
40.45,41.32
40.45,41.32
40.45,41.32
40.45,41.32
40.45,41.32
40.45,41.32
40.45,41.32
40.45,41.32
40.45,41.32
40.45,41.32
40.45,41.32
40.45,41.316
40.45,41.316
40.45,41.316
40.45,41.316
40.45,41.316
40.45,41.316
40.45,41.316
40.45,41.316
40.45,41.314
40.45,41.314
40.45,41.314
40.45,41.28
40.45,41.272
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.222
40.45,41.18
40.45,41.18
40.45,41.176
40.45,41.176
40.45,41.176
40.45,41.176
40.45,41.176
40.45,41.176
40.45,41.176
40.45,41.176
40.45,41.146
40.45,41.146
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.112
40.45,41.084
40.45,41.084
40.45,41.084
40.45,41.082
40.45,41.082
40.45,41.082
40.45,41.082
40.45,41.082
40.45,41.082
40.45,41.082
40.45,41.082
40.45,41.082
40.45,41.082
40.45,41.082
40.45,41.082
40.45,41.082
40.45,41.082
40.45,41.082
40.45,41.082
40.45,41.082
40.45,41.082
40.45,41.05
40.45,41.05
40.45,41.05
40.45,41.05
40.45,41.022
40.45,41.022
40.45,41.022
40.45,41.022
40.45,41.022
40.45,41.022
40.45,41.022
40.45,41.022
40.45,40.992
40.45,40.992
40.45,40.992
40.45,40.968
40.45,40.968
40.45,40.968
40.45,40.968
40.45,40.968
40.45,40.968
40.45,40.968
40.45,40.968
40.45,40.968
40.45,40.968
40.45,40.968
40.45,40.968
40.45,40.968
40.45,40.936
40.45,40.936
40.45,40.936
40.45,40.936
40.45,40.936
40.45,40.936
40.45,40.936
40.45,40.936
40.45,40.936
40.45,40.914
40.45,40.914
40.45,40.914
40.45,40.914
40.45,40.914
40.45,40.914
40.45,40.914
40.45,40.914
40.45,40.914
40.45,40.9
40.45,40.9
40.45,40.9
40.45,40.9
40.45,40.9
40.45,40.9
40.45,40.9
40.45,40.9
40.45,40.9
40.45,40.9
40.45,40.9
40.45,40.9
40.45,40.9
40.45,40.88
40.45,40.88
40.45,40.88
40.45,40.88
40.45,40.88
40.45,40.88
40.45,40.866
40.45,40.85
40.45,40.85
40.45,40.85
40.45,40.85
40.45,40.85
40.45,40.85
40.45,40.85
40.45,40.85
40.45,40.85
40.45,40.85
40.45,40.85
40.45,40.832
40.45,40.832
40.45,40.832
40.45,40.832
40.45,40.832
40.45,40.82
40.45,40.82
40.45,40.82
40.45,40.82
40.45,40.82
40.45,40.82
40.45,40.82
40.45,40.82
40.45,40.82
40.45,40.82
40.45,40.82
40.45,40.812
40.45,40.812
40.45,40.808
40.45,40.808
40.45,40.808
40.45,40.808
40.45,40.808
40.45,40.808
40.45,40.808
40.45,40.808
40.45,40.808
40.45,40.808
40.45,40.808
40.45,40.808
40.45,40.808
40.45,40.808
40.45,40.808
40.45,40.808
40.45,40.808
40.45,40.808
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.798
40.45,40.792
40.45,40.792
40.45,40.792
40.45,40.792
40.45,40.792
40.45,40.792
40.45,40.792
40.45,40.788
40.45,40.788
40.45,40.784
40.45,40.784
40.45,40.784
40.45,40.784
40.45,40.784
40.45,40.784
40.45,40.784
40.45,40.784
40.45,40.784
40.45,40.768
40.45,40.768
40.45,40.768
40.45,40.768
40.45,40.768
40.45,40.766
40.45,40.766
40.45,40.766
40.45,40.766
40.45,40.766
40.45,40.766
40.45,40.758
40.45,40.748
40.45,40.748
40.45,40.748
40.45,40.748
40.45,40.748
40.45,40.748
40.45,40.748
40.45,40.748
40.45,40.748
40.45,40.748
40.45,40.748
40.45,40.748
40.45,40.748
40.45,40.744
40.45,40.744
40.45,40.744
40.45,40.744
40.45,40.728
40.45,40.724
40.45,40.72
40.45,40.72
40.3,40.696
40.3,40.696
40.3,40.696
40.3,40.696
40.3,40.696
40.3,40.696
40.3,40.696
40.3,40.696
40.3,40.696
40.3,40.696
40.3,40.682
40.3,40.682
40.3,40.682
40.3,40.682
40.3,40.682
40.3,40.682
40.3,40.682
40.3,40.682
40.3,40.682
40.3,40.68
40.3,40.68
40.3,40.68
40.3,40.68
40.3,40.68
40.3,40.68
40.3,40.68
40.3,40.68
40.3,40.68
40.3,40.68
40.3,40.68
40.3,40.68
40.3,40.68
40.3,40.68
40.3,40.68
40.3,40.68
40.3,40.68
40.3,40.68
40.3,40.68
40.3,40.68
40.3,40.68
40.3,40.666
40.3,40.666
40.3,40.666
40.3,40.666
40.3,40.666
40.3,40.666
40.3,40.666
40.3,40.666
40.3,40.666
40.3,40.666
40.3,40.666
40.3,40.666
40.3,40.666
40.3,40.666
40.3,40.666
40.3,40.666
40.3,40.666
40.3,40.666
40.3,40.666
40.3,40.666
40.3,40.666
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.652
40.3,40.636
40.3,40.636
40.3,40.636
39.85,40.596
39.85,40.594
39.85,40.594
39.85,40.594
39.85,40.594
39.85,40.594
39.85,40.594
39.85,40.594
39.85,40.594
39.85,40.592
39.85,40.592
39.85,40.58
39.85,40.58
39.85,40.58
39.85,40.572
39.85,40.566
39.85,40.566
39.85,40.566
39.85,40.566
39.85,40.566
39.85,40.566
39.85,40.566
39.85,40.558
39.85,40.558
39.85,40.558
39.85,40.55
39.85,40.55
39.85,40.548
