GA,IP
5.55,1.2
7.80,1.2
9.93,1.8
8.73,2.3
9.92,2.1
13.28,1.1
12.19,1.3
9.00,0.7
10.61,3600.1
9.56,3.1
23.23,3600.9
21.03,3618.1
18.44,3632.4
18.78,3634.1
24.53,3619.9
30.14,49.8
22.16,33.6
31.91,3623.5
35.86,3609.5
33.28,3607.1
45.68,3600.4
44.29,3600.3
41.89,3600.3
43.78,3601.9
49.34,3601.4
47.58,3601.8
52.44,3600.1
37.85,3601.2
51.43,3601.0
50.21,3600.3
74.81,3600.5
46.98,3600.4
74.35,3600.4
67.57,3600.4
63.58,3600.4
78.45,3600.4
64.50,3600.4
76.26,3600.2
70.38,3602.5
84.03,3602.5
88.00,3602.5
84.22,3602.5
89.28,3602.5
90.70,3602.5
100.25,3602.5
124.16,3602.5
124.22,3601.1
104.91,3600.5
130.35,3600.5
128.01,3600.5
122.42,3602.26
107.48,3602.26
136.26,3602.26
131.41,3602.26
148.51,3602.26
177.66,3602.26
184.26,3602.26
200.55,3602.26
139.06,3602.26
164.64,3600.55
155.81,3600.55
153.99,3600.55
127.85,3600.55
171.10,3600.55
169.61,3600.55
180.80,3600.55
273.35,3600.55
226.51,3600.55
228.71,3600.55
253.95,3600.55
