config1,config2,config4
0.10811,0.117117117,0.117117117
0.10811,0.153153153,0.189189189
0.10811,0.117117117,0.126126126
0.12613,0.108108108,0.117117117
0.11712,0.108108108,0.117117117
0.10811,0.135135135,0.135135135
0.11712,0.126126126,0.162162162
0.10811,0.108108108,0.144144144
0.11712,0.108108108,0.153153153
0.10811,0.108108108,0.171171171
0.11842,0.131578947,0.144736842
0.09211,0.157894737,0.144736842
0.14474,0.105263158,0.144736842
0.09211,0.092105263,0.157894737
0.14474,0.118421053,0.144736842
0.11842,0.092105263,0.105263158
0.14474,0.105263158,0.118421053
0.14474,0.105263158,0.144736842
0.11842,0.118421053,0.105263158
0.11842,0.144736842,0.118421053
0.12432,0.124324324,0.124324324
0.12432,0.124324324,0.124324324
0.12432,0.124324324,0.140540541
0.12432,0.140540541,0.140540541
0.12432,0.124324324,0.124324324
0.12432,0.124324324,0.124324324
0.11351,0.124324324,0.124324324
0.12432,0.097297297,0.124324324
0.12432,0.124324324,0.140540541
0.12432,0.124324324,0.140540541
0.13333,0.133333333,0.16
0.13333,0.133333333,0.213333333
0.14667,0.12,0.2
0.12000,0.12,0.213333333
0.17333,0.186666667,0.186666667
0.16000,0.213333333,0.146666667
0.16000,0.146666667,0.186666667
0.13333,0.146666667,0.2
0.16000,0.16,0.2
0.14667,0.133333333,0.226666667
0.18343,0.218934911,0.25443787
0.25444,0.195266272,0.266272189
0.25444,0.24260355,0.25443787
0.25444,0.183431953,0.25443787
0.21893,0.230769231,0.195266272
0.20710,0.207100592,0.266272189
0.20710,0.230769231,0.195266272
0.20710,0.25443787,0.25443787
0.24260,0.195266272,0.25443787
0.25444,0.24260355,0.24260355
0.05521,0.159509202,0.147239264
0.03681,0.159509202,0.018404908
0.01840,0.036809816,0.018404908
0.07362,0.055214724,0.110429448
0.03681,0.128834356,0.159509202
0.03681,0.018404908,0.159509202
0.01840,0.159509202,0.159509202
0.01840,0.159509202,0.159509202
0.01840,0.073619632,0.128834356
0.05521,0.018404908,0.036809816
0.17568,0.189189189,0.175675676
0.24324,0.202702703,0.175675676
0.17568,0.162162162,0.216216216
0.18919,0.175675676,0.189189189
0.16216,0.202702703,0.202702703
0.18919,0.162162162,0.189189189
0.20270,0.175675676,0.202702703
0.14865,0.189189189,0.162162162
0.17568,0.175675676,0.148648649
0.14865,0.189189189,0.202702703
0.05556,0.092592593,0.185185185
0.05556,0.111111111,0.12962963
0.05556,0.12962963,0.148148148
0.05556,0.111111111,0.092592593
0.07407,0.111111111,0.111111111
0.09259,0.111111111,0.111111111
0.09259,0.055555556,0.185185185
0.09259,0.148148148,0.12962963
0.05556,0.166666667,0.148148148
0.07407,0.148148148,0.222222222
0.18699,0.18699187,0.18699187
0.18699,0.18699187,0.18699187
0.18699,0.18699187,0.18699187
0.18699,0.18699187,0.18699187
0.18699,0.18699187,0.18699187
0.18699,0.18699187,0.18699187
0.18699,0.18699187,0.18699187
0.18699,0.18699187,0.18699187
0.18699,0.18699187,0.18699187
0.18699,0.18699187,0.18699187
0.18110,0.181102362,0.196850394
0.18110,0.196850394,0.196850394
0.18110,0.196850394,0.196850394
0.18110,0.181102362,0.196850394
0.18110,0.181102362,0.196850394
0.18110,0.196850394,0.196850394
0.16535,0.196850394,0.196850394
0.18110,0.181102362,0.196850394
0.18110,0.196850394,0.181102362
0.18110,0.196850394,0.196850394
0.26012,0.335260116,0.323699422
0.33526,0.312138728,0.352601156
0.26590,0.312138728,0.346820809
0.24855,0.306358382,0.352601156
0.27746,0.387283237,0.358381503
0.21965,0.38150289,0.306358382
0.21965,0.289017341,0.317919075
0.26590,0.352601156,0.289017341
0.21387,0.329479769,0.300578035
0.31792,0.294797688,0.335260116
0.27352,0.277899344,0.306345733
0.26477,0.284463895,0.396061269
0.27352,0.315098468,0.363238512
0.28446,0.295404814,0.371991247
0.29322,0.317286652,0.354485777
0.29978,0.374179431,0.345733042
0.26915,0.269146608,0.382932166
0.31729,0.376367615,0.382932166
0.26477,0.29321663,0.38512035
0.30197,0.284463895,0.319474836
0.16883,0.212121212,0.264069264
0.13420,0.268398268,0.264069264
0.18182,0.199134199,0.255411255
0.23810,0.233766234,0.285714286
0.19913,0.264069264,0.251082251
0.18182,0.255411255,0.268398268
0.18182,0.229437229,0.177489177
0.18615,0.194805195,0.233766234
0.14719,0.32034632,0.225108225
0.12987,0.194805195,0.207792208
0.16129,0.189964158,0.250896057
0.14337,0.200716846,0.200716846
0.18638,0.204301075,0.218637993
0.15412,0.207885305,0.29390681
0.16846,0.207885305,0.211469534
0.16487,0.189964158,0.189964158
0.16129,0.200716846,0.186379928
0.18638,0.182795699,0.229390681
0.17204,0.197132616,0.23297491
0.19355,0.182795699,0.222222222
0.22400,0.248,0.304
0.24267,0.205333333,0.256
0.25600,0.352,0.28
0.21067,0.258666667,0.216
0.22933,0.301333333,0.229333333
